id_cliente,ano_nascimento,nivel_educacao,estado_civil,criancas_ate_dez_anos,criancas_mais_dez_anos,data_entrada,resposta_campanha,renda_anual,idade,ultima_transancao,total_vinho,total_frutas,total_carnes,total_peixes,total_doces,total_outros,total_compras,data_transacao,lugar_transacao,,frequencia
5524,1957,Grado o superior,Soltero,0,0,2020-09-04,1,58138,67,23/7/2022,635,88,546,172,88,88,1617,44078,en línea,,12
2174,1954,Grado o superior,Soltero,1,1,2022-03-08,0,46344,70,28/11/2022,11,1,6,2,1,6,27,44628,en línea,,3
4141,1965,Grado o superior,Unión de hecho,0,0,2021-08-21,0,71613,59,9/10/2022,426,49,127,111,21,42,776,44429,en línea,,18
6182,1984,Grado o superior,Unión de hecho,1,0,2022-02-10,0,26646,40,19/11/2022,11,4,20,10,3,5,53,44602,en línea,,6
5324,1981,Posgrado,Casado,1,0,2022-01-19,0,58293,43,9/11/2022,173,43,118,46,27,15,422,44580,en línea,,11
7446,1967,Posgrado,Unión de hecho,0,1,2021-09-09,0,62513,57,16/10/2022,520,42,98,0,42,14,716,44448,en línea,,16
965,1971,Grado o superior,Divorciado,0,1,2020-11-13,0,55635,53,30/10/2022,235,65,164,50,49,27,590,44148,en línea,,14
6177,1985,Posgrado,Casado,1,0,2021-05-08,0,33454,39,30/10/2022,76,10,56,3,1,23,169,44324,en línea,,8
4855,1974,Posgrado,Unión de hecho,1,0,2021-06-06,1,30351,50,23/7/2022,14,0,24,3,3,2,46,44353,en línea,,5
5899,1950,Posgrado,Unión de hecho,1,1,2022-03-13,0,5648,74,13/3/2022,28,0,6,1,1,13,49,44633,en línea,,1
1994,1983,Grado o superior,Casado,1,0,2021-11-15,0,52247,41,27/5/2022,5,5,6,0,2,1,19,44515,en línea,,3
387,1976,Secundaria,Casado,0,0,2020-11-13,0,7500,48,5/9/2021,6,16,11,11,1,16,61,44148,en línea,,5
2125,1959,Grado o superior,Divorciado,0,0,2021-11-15,0,63033,65,5/12/2022,194,61,480,225,112,30,1102,44515,en línea,,11
8180,1952,Posgrado,Divorciado,1,1,2021-11-15,0,59354,72,8/11/2022,233,2,53,3,5,14,310,44515,en línea,,11
2569,1987,Grado o superior,Casado,0,0,2020-10-10,0,17323,37,4/9/2021,3,14,17,6,1,5,46,44114,en línea,,4
2114,1946,Posgrado,Soltero,0,0,2020-11-24,1,82800,78,19/7/2022,1006,22,115,59,68,45,1315,44159,en línea,,19
9736,1980,Grado o superior,Casado,1,1,2020-12-24,0,41850,44,6/5/2022,53,5,19,2,13,4,96,44189,en línea,,6
4939,1946,Grado o superior,Unión de hecho,0,0,2020-08-31,0,37760,78,15/7/2022,84,5,38,150,12,28,317,44074,en línea,,10
6565,1949,Posgrado,Casado,0,1,2021-03-28,0,76995,75,7/4/2022,1012,80,498,0,16,176,1782,44283,en línea,,20
2278,1985,Secundaria,Soltero,1,0,2020-11-03,0,33812,39,3/7/2021,4,17,19,30,24,39,133,44138,en línea,,5
9360,1982,Grado o superior,Casado,0,0,2020-08-08,0,37040,42,20/9/2022,86,2,73,69,38,48,316,44051,en línea,,9
5376,1979,Grado o superior,Casado,1,0,2021-01-06,0,2447,45,,1,1,1725,1,1,1,1730,,,,0
1993,1949,Posgrado,Casado,0,1,2020-12-23,0,58607,75,20/3/2022,867,0,86,0,0,19,972,44188,en línea,,11
4047,1954,Posgrado,Casado,0,1,2022-01-11,0,65324,70,24/12/2022,384,0,102,21,32,5,544,44572,en línea,,15
1409,1951,Grado o superior,Unión de hecho,0,1,2021-03-18,0,40689,73,30/11/2022,270,3,27,39,6,99,444,44273,en línea,,12
7892,1969,Grado o superior,Soltero,0,0,2021-01-02,0,18589,55,2/7/2022,6,4,25,15,12,13,75,44198,en línea,,5
2404,1976,Grado o superior,Casado,1,1,2021-05-27,0,53359,48,23/5/2022,173,4,30,3,6,41,257,44343,en línea,,9
5255,1986,Grado o superior,Soltero,1,0,2021-02-20,0,52247,38,27/10/2022,5,1,3,3,263,362,637,44247,en línea,,27
9422,1989,Grado o superior,Casado,1,0,2021-05-31,0,38360,35,7/9/2022,36,2,42,20,21,10,131,44347,en línea,,6
